Offer Title,Image,Description,,Link,Eligible Credit Cards,Eligible Debit Cards
Flat 11% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Oct/cdba6294d4e550ffe5fb1cbeab717097.jpg,AMEXNET,,https://www.yatra.com/offer/details/american-express-network-card-offers,American Express Gold Charge Card,
Flat 11% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Oct/cdba6294d4e550ffe5fb1cbeab717097.jpg,AMEXNET,,https://www.yatra.com/offer/details/american-express-network-card-offers,American Express Membership Rewards Credit Card,
Flat 11% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Oct/cdba6294d4e550ffe5fb1cbeab717097.jpg,AMEXNET,,https://www.yatra.com/offer/details/american-express-network-card-offers,American Express Smartearn Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Altura Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Bank Zenith+ Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Vetta Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Bank InstaPay Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Bank Altura Plus Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Zenith Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,Ixigo AU Travel Credit Card,
AU Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/3fac6ca5f0cb0724df62510ee233c258.jpg,YTAUEMI,,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU LIT Credit Card,
Onecard Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/16e0193b09ea53a18534851ac48ace5e.jpg,ONECARDEMI,,https://www.yatra.com/offer/details/onecard-emi-offers,SIB Onecard Credit Card SBM Onecard Credit Card CSB Onecard Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,PhonePe HDFC Bank Ultimo Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Bank MoneyBack Plus RuPay Credit Card,
