Serial Number,Credit Card Name,Credit Card Image,Flight Benefit
38,HSBC TravelOne Credit Card,https://static.wixstatic.com/media/200895_b88de8db852c4c79816b0399d0386ec3~mv2.png,"Cardholders will save 15% on domestic and international holiday bookings at yatra, easemytrip, paytm travel and cleartrip"
39,IndusInd Bank Club Vistara Explorer Credit Card ,https://static.wixstatic.com/media/2a565f_29bcf3368f8f4981a1fb59dbf6251fd9~mv2.webp,"On spending Rs. 200, customers will earn 8 CV points on the Club Vistara website.Vistara Airlines Cashback rate: 3%,�"
43,Simplyclick SBI Card,https://static.wixstatic.com/media/f836e8_150b5ac8179a4e2fa56b34b949b3df68~mv2.webp,"Users will get 10 points on spending every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra.�
Special Cashback Rate: 2.5%.�"
44,IndusInd Intermiles Odyssey Visa Credit Card ,https://static.wixstatic.com/media/257766_4e48da28b5414644a063f107de2f80d3~mv2.jpg,Reward points accumulated on your card can be used for buying air ticket with partner airlines. 
45,Ixigo AU Travel Credit Card,https://static.wixstatic.com/media/f836e8_5aed859a4f92417aba2cdb619de131ca~mv2.webp,10% flat off on booking flights via Ixigo website and app. 
47,6E Rewards Indigo HDFC Bank Credit Card,https://static.wixstatic.com/media/200895_31f14758690d43a6a1785306a4813a45~mv2.png,Indigo Cashback Rate: 2.5%.�
48,LIC Axis Bank Platinum Credit Card,https://static.wixstatic.com/media/f836e8_8d3270690d61428ba7628e22dfdd1dd7~mv2.webp,15% off on Wednesday on flights booking through Makemytrip
49,Emirates Skywards Rubyx Credit Card,https://static.wixstatic.com/media/f836e8_c3b9388422a7426da259175f54f911d5~mv2.webp,Reward points accumulated on your card can be used for buying air ticket with partner airlines. 
50,Karnataka Bank SBI Card Prime,https://static.wixstatic.com/media/f836e8_95ffe21f7a6d44ee863ce41ab8d5df33~mv2.webp, 9 club vistara points for every inr 100 spent on vistara flights. Vistara Airlines Cashback Rate 2.25%.
51,City Union Bank SBI Card Prime,https://static.wixstatic.com/media/f836e8_81e6e605a4f8468fa2bec9a45020c79e~mv2.webp, 9 club vistara points for every inr 100 spent on vistara flights. Vistara Airlines Cashback Rate 2.25%.
53,PNB EMT Rupay Platinum Credit Card,https://static.wixstatic.com/media/200895_ba0507fb06974c77a988e7be3a2e9401~mv2.jpg,"1,000 flat off on domestic flight bookings; 5,000 flat off on  international flight bookings."
55,Axis Bank Signature Credit Card,https://static.wixstatic.com/media/f836e8_4f70adc953a44419a02370a23e35dfa6~mv2.webp,Cardholder gets 15% off on hotels and flights every wednesday on Makemytrip
56,Axis Bank Freecharge Plus Credit Card,https://static.wixstatic.com/media/f836e8_4b403f66d85742bcac125a2131158c7d~mv2.webp,Cardholder gets 15% off on flights and hotels via goibibo and Makemytrip on wednesday
57,UCO Bank SBI Card Prime,https://static.wixstatic.com/media/2a565f_bf006c87665142f0b0da945afd1aa20f~mv2.webp, 9 club vistara points for every inr 100 spent on vistara flights. Vistara Airlines Cashback Rate 2.25%.
58,Intermiles Amex Voyage Credit Card,https://static.wixstatic.com/media/257766_ad98660b54704119b11f22cc79793131~mv2.png,Reward points accumulated on your card can be used for buying air ticket with partner airlines. 
59,HSBC Taj Credit Card,https://static.wixstatic.com/media/200895_9df69c1c29e94c769e9946954c461bfb~mv2.png,Cardholders can get up to 5% off on emirates flights originating in india.
60,Axis Bank Vistara Credit Card,https://static.wixstatic.com/media/f836e8_33192baea492459287f46c925aa75480~mv2.webp,"Reward points can be redeemed for air tickets.       Customers get every wednesday (a) 15% off on flights and hotels via goibibo and makemytrip, (b) 10 off on order via swiggy and amazon fresh and (c) 10% off upto inr 1,000 on tira"
61,LIC Axis Bank Signature Credit Card,https://static.wixstatic.com/media/f836e8_c6a135f8113f4d8b9bc33dcf4bbfd91c~mv2.webp,15% off on wednesday on flights through makemytrip
63,Axis Bank Freecharge Credit Card,https://static.wixstatic.com/media/f836e8_e62800e374b643018e6dd5b4dcd45a65~mv2.webp,Cardholders gets 15% off on makemytrip on wednesday on flights and hotels
