Offer Title,,,,Image,Link,Eligible Cards,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,LIC Axis Bank Signature,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Platinum,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank My Wings,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Aura,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Titanium Smart Traveller,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Freecharge,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Pride Platinum,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Neo,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis KWIK,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,LIC Axis Bank Platinum,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Horizon Mastercard,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Bank Shoppers Stop,
"Get up to 35% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-domestic-flights/,Axis Horizon Visa,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Ace,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Airtel Axis Bank RuPay,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Airtel Axis Bank Visa,
