Offer Title,Description,Link,Image,Eligible Credit Cards,Eligible Debit Cards
Get Flat 8% Off on International Flights with IDFC FIRST Bank Credit Card+Interest Free EMI,Get Flat 8% Off on International Flights with IDFC FIRST Bank Credit Card+Interest Free EMI,https://www.ixigo.com/offers/idfc-intl-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F12af9c591d0d97582fb78ed057acf390-sfjms.png&w=3840&q=75,IDFC Mayura Credit Card,
Get Flat 8% Off on International Flights with IDFC FIRST Bank Credit Card+Interest Free EMI,Get Flat 8% Off on International Flights with IDFC FIRST Bank Credit Card+Interest Free EMI,https://www.ixigo.com/offers/idfc-intl-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F12af9c591d0d97582fb78ed057acf390-sfjms.png&w=3840&q=75,IDFC First Ashva Credit Card,
Get Flat 8% Off on International Flights with IDFC FIRST Bank Credit Card+Interest Free EMI,Get Flat 8% Off on International Flights with IDFC FIRST Bank Credit Card+Interest Free EMI,https://www.ixigo.com/offers/idfc-intl-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F12af9c591d0d97582fb78ed057acf390-sfjms.png&w=3840&q=75,IDFC First Private Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,MakeMyTrip ICICI Bank Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,ICICI Bank HPCL Super Saver Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,ICICI Bank HPCL Super Saver RuPay Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,ICICI Bank Sapphiro Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,ICICI Parakram Select Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,Emirates Skywards ICICI Bank Emerald Credit Card,
"Get up to ??1,500 Off with ICICI Bank Credit Cards","Get up to ??1,500 Off with ICICI Bank Credit Cards",https://www.ixigo.com/offers/icici-credit-card-offer-dom,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fc9a6f55f687a8ce994e13c7cc389f0c1-vguko.webp&w=3840&q=75,Accelero ICICI Bank Credit Card,
